id,nombre,precio,categoria,stock
1,Camiseta Basica Negra,16.37,Camisetas,35
2,Camiseta Basica Blanca,17.74,Camisetas,23
3,Camiseta Oversize Negra,19.11,Camisetas,21
4,Camiseta Oversize Blanca,20.48,Camisetas,20
5,Camiseta Vintage Roja,21.85,Camisetas,43
6,Camiseta Vintage Azul,23.22,Camisetas,40
7,Camiseta Vintage Verde,24.59,Camisetas,49
8,Camiseta Anime Tokyo,25.96,Camisetas,8
9,Camiseta Graphic Dragon,27.33,Camisetas,10
10,Camiseta Streetwear Urban,28.7,Camisetas,18
11,Camiseta Retro 90s,30.07,Camisetas,43
12,Camiseta Minimalista Beige,31.44,Camisetas,22
13,Camiseta Acid Wash,32.81,Camisetas,36
14,Camiseta Boxy Fit,34.18,Camisetas,21
15,Camiseta Oversize Gris,35.55,Camisetas,11
16,Camiseta Oversize Cafe,36.92,Camisetas,36
17,Camiseta Skate,38.29,Camisetas,5
18,Camiseta Hip Hop,39.66,Camisetas,15
19,Camiseta Distressed,41.03,Camisetas,18
20,Camiseta Monocromatica,42.4,Camisetas,31
21,Camisa Formal Blanca,43.77,Camisas,19
22,Camisa Formal Negra,45.14,Camisas,6
23,Camisa Flannel Roja,46.51,Camisas,24
24,Camisa Flannel Azul,47.88,Camisas,14
25,Camisa Oversize Beige,49.25,Camisas,22
26,Camisa Oversize Negra,50.62,Camisas,43
27,Camisa Satinada Plateada,51.99,Camisas,22
28,Camisa Casual Verde,53.36,Camisas,20
29,Camisa Casual Gris,54.73,Camisas,27
30,Camisa Manga Corta Azul,56.1,Camisas,23
31,Camisa Coreana Blanca,57.47,Camisas,49
32,Camisa Lino Beige,58.84,Camisas,26
33,Camisa Oxford Celeste,60.21,Camisas,19
34,Camisa Streetwear Negra,61.58,Camisas,20
35,Camisa Rayada Azul,62.95,Camisas,15
36,Camisa Slim Fit Blanca,64.32,Camisas,33
37,Camisa Loose Fit Gris,65.69,Camisas,20
38,Camisa Vintage Cafe,67.06,Camisas,31
39,Camisa Estampada Negra,68.43,Camisas,36
40,Camisa Denim Azul,69.8,Camisas,24
41,Jean Baggy Azul Claro,71.17,Jeans,13
42,Jean Baggy Azul Oscuro,72.54,Jeans,21
43,Jean Baggy Negro,73.91,Jeans,24
44,Jean Baggy Gris,75.28,Jeans,24
45,Jean Skinny Azul,76.65,Jeans,35
46,Jean Skinny Negro,78.02,Jeans,33
47,Jean Cargo Verde,79.39,Jeans,17
48,Jean Cargo Beige,80.76,Jeans,24
49,Jean Recto Azul,82.13,Jeans,38
50,Jean Recto Negro,83.5,Jeans,33
51,Jean Destroyed Azul,84.87,Jeans,17
52,Jean Vintage Wash,86.24,Jeans,34
53,Jean Wide Leg Gris,87.61,Jeans,7
54,Jean Relaxed Fit Negro,88.98,Jeans,16
55,Jean Carpenter Azul,90.35,Jeans,5
56,Jean Streetwear Gris,91.72,Jeans,26
57,Jean Loose Fit Azul,93.09,Jeans,25
58,Jean Oversize Negro,94.46,Jeans,30
59,Jean Urban Denim,95.83,Jeans,44
60,Jean Acid Wash,97.2,Jeans,7
61,Pantalon Cargo Negro,98.57,Pantalones,41
62,Pantalon Cargo Beige,99.94,Pantalones,16
63,Pantalon Cargo Verde,101.31,Pantalones,37
64,Pantalon Jogger Gris,102.68,Pantalones,18
65,Pantalon Jogger Negro,104.05,Pantalones,25
66,Pantalon Jogger Azul,15.42,Pantalones,24
67,Pantalon Wide Leg Negro,16.79,Pantalones,6
68,Pantalon Wide Leg Beige,18.16,Pantalones,29
69,Pantalon Streetwear Gris,19.53,Pantalones,30
70,Pantalon Streetwear Negro,20.9,Pantalones,46
71,Pantalon Formal Azul,22.27,Pantalones,24
72,Pantalon Formal Negro,23.64,Pantalones,37
73,Pantalon Deportivo Blanco,25.01,Pantalones,24
74,Pantalon Slim Fit Gris,26.38,Pantalones,20
75,Pantalon Tactical Verde,27.75,Pantalones,35
76,Pantalon Techwear Negro,29.12,Pantalones,29
77,Pantalon Casual Cafe,30.49,Pantalones,35
78,Pantalon Recto Beige,31.86,Pantalones,37
79,Pantalon Urban Fit,33.23,Pantalones,29
80,Pantalon Relaxed Gris,34.6,Pantalones,27
81,Hoodie Oversize Negro,35.97,Hoodies,34
82,Hoodie Oversize Blanco,37.34,Hoodies,30
83,Hoodie Oversize Gris,38.71,Hoodies,19
84,Hoodie Oversize Beige,40.08,Hoodies,14
85,Hoodie Graphic Rojo,41.45,Hoodies,17
86,Hoodie Graphic Negro,42.82,Hoodies,29
87,Hoodie Vintage Gris,44.19,Hoodies,18
88,Hoodie Streetwear Blanco,45.56,Hoodies,36
89,Hoodie Streetwear Negro,46.93,Hoodies,5
90,Hoodie Anime Tokyo,48.3,Hoodies,42
